property_name,lat,lon,loc1,loc2,loc3,loc4
Nhà thuốc Long Châu,10.4154854,107.21915109999999,"H, 44 Đường số 7",TT. Long Hải,Long Điền,"Bà Rịa - Vũng Tàu 780000, Vietnam"
Nhà Thuốc Long Châu 134 Lý Thường Kiệt,10.3594335,106.3544548,134 Lý Thường Kiệt,Phường 4,Thành phố Mỹ Tho,"Tiền Giang, Vietnam"
Nhà thuốc Long Châu 42,10.3640026,106.3583183,91 Ấp Bắc,Phường 5,Thành phố Mỹ Tho,"Tiền Giang 860000, Vietnam"
Nhà thuốc Long Châu,10.254375999999999,105.965881,62 Lưu Văn Liệt,P. 2,Vĩnh Long,"850000, Vietnam"
Nhà Thuốc Tư Nhân Long Châu 2,10.8686431,106.6842188,145 Thạnh Lộc 13,Thạnh Lộc,Quận 12,"Thành phố Hồ Chí Minh, Vietnam"
Nhà thuốc Long Châu,11.286175,106.126854,"4-6-8 Phạm Hùng, TT. Hòa Thành, H. Hòa Thành",Hoà Thành,Tây Ninh 840000,Vietnam
Nhà Thuốc FPT Long Châu,10.3569173,106.3572167,248A Trần Hưng Đạo,Phường 4,Thành phố Mỹ Tho,"Tiền Giang, Vietnam"
Nhà Thuốc Long Châu,10.255956399999999,105.9724849,8 Đoàn Thị Điểm,Phường 1,Vĩnh Long,Vietnam
Nhà thuốc long châu,11.3254024,106.47701699999999,Long Hoà,Dầu Tiếng,Bình Dương,Vietnam
QUẦY THUỐC LONG CHÂU 2,10.7596524,106.9427023,125 ĐT769,Hiệp Phước,Nhơn Trạch,"Đồng Nai, Vietnam"
Nhà thuốc Long Châu 17,10.7644097,106.6514677,7 Lê Đại Hành,Phường 13,Quận 11,"Thành phố Hồ Chí Minh, Vietnam"
